Gene,FilterAUC
11756118_s_at,0.9366666666666666
11752235_x_at,0.9366666666666666
11723633_s_at,0.9366666666666665
11715926_s_at,0.9366666666666665
11758090_s_at,0.9366666666666665
11715423_s_at,0.9333333333333333
11763266_at,0.9333333333333333
11741091_a_at,0.9333333333333333
11721661_a_at,0.9333333333333333
11757808_s_at,0.9333333333333333
11755363_a_at,0.9333333333333333
11716612_a_at,0.9333333333333333
11751092_s_at,0.9333333333333333
11724354_x_at,0.9333333333333333
11720380_a_at,0.9333333333333333
11717685_at,0.9333333333333333
11717282_at,0.9333333333333333
11748273_a_at,0.9333333333333333
11716955_s_at,0.9333333333333333
11740208_x_at,0.9333333333333333
11716871_at,0.9333333333333333
11740213_a_at,0.9333333333333333
11756191_a_at,0.9333333333333333
11718718_a_at,0.9333333333333333
11752509_s_at,0.9333333333333333
11755179_x_at,0.9333333333333333
11724881_at,0.9333333333333333
11754218_a_at,0.9333333333333333
11725165_a_at,0.9333333333333333
11758635_s_at,0.9333333333333333
11723118_a_at,0.9333333333333333
11731437_at,0.9333333333333333
11739055_x_at,0.9333333333333332
11732180_a_at,0.9333333333333332
11726532_a_at,0.93
11717337_a_at,0.93
11729227_a_at,0.93
11724484_a_at,0.93
11741660_a_at,0.93
11719858_a_at,0.93
11756431_s_at,0.93
11719347_a_at,0.93
11723116_a_at,0.93
11743129_at,0.93
11738203_x_at,0.93
11751031_a_at,0.93
11743735_a_at,0.93
11732131_x_at,0.93
11723468_at,0.93
11741350_a_at,0.93
11759568_at,0.93
11723400_a_at,0.9299999999999999
11732575_a_at,0.9299999999999999
11734903_a_at,0.9299999999999999
11733513_a_at,0.9299999999999999
11747628_a_at,0.9299999999999999
11716812_x_at,0.9299999999999999
11722810_s_at,0.9299999999999999
11743666_at,0.9299999999999999
11751164_a_at,0.9299999999999999
11720739_s_at,0.9299999999999999
11733803_x_at,0.9299999999999999
11751231_a_at,0.9299999999999999
11728840_at,0.9299999999999999
11728972_a_at,0.9299999999999999
11743525_a_at,0.9299999999999999
11728062_a_at,0.9266666666666667
11718372_x_at,0.9266666666666667
11717946_x_at,0.9266666666666667
11733894_x_at,0.9266666666666667
11723401_x_at,0.9266666666666667
11757545_x_at,0.9266666666666667
11725073_s_at,0.9266666666666667
11717208_at,0.9266666666666667
11721027_a_at,0.9266666666666667
11747623_a_at,0.9266666666666666
11717752_s_at,0.9266666666666666
11719911_at,0.9266666666666666
11732567_at,0.9266666666666666
11756011_a_at,0.9266666666666666
11739232_x_at,0.9266666666666666
11729766_x_at,0.9266666666666666
11718320_at,0.9266666666666666
11757926_s_at,0.9266666666666666
11715657_a_at,0.9266666666666666
11718305_a_at,0.9266666666666666
11732132_a_at,0.9266666666666666
11721073_a_at,0.9266666666666666
11726633_s_at,0.9266666666666666
11741062_s_at,0.9266666666666666
11718091_at,0.9266666666666666
11737870_s_at,0.9266666666666666
11756532_a_at,0.9266666666666666
11718078_a_at,0.9266666666666666
11747281_a_at,0.9266666666666666
11735610_a_at,0.9266666666666665
11725440_a_at,0.9233333333333333
11717374_at,0.9233333333333333
11718699_at,0.9233333333333333
11756997_x_at,0.9233333333333333
11735741_s_at,0.9233333333333333
11738036_s_at,0.9233333333333333
11759312_at,0.9233333333333333
11721513_a_at,0.9233333333333333
11715390_s_at,0.9233333333333333
11724245_a_at,0.9233333333333333
11732415_s_at,0.9233333333333333
11758906_at,0.9233333333333333
11719663_s_at,0.9233333333333333
11738980_a_at,0.9233333333333333
11747785_s_at,0.9233333333333333
11719728_s_at,0.9233333333333333
11738519_x_at,0.9233333333333333
11743591_a_at,0.9233333333333333
11721922_at,0.9233333333333333
11717018_a_at,0.9233333333333333
11727644_a_at,0.9233333333333333
11722525_a_at,0.9233333333333333
11720152_a_at,0.9233333333333333
11757883_s_at,0.9233333333333333
11721761_a_at,0.9233333333333333
11716993_a_at,0.9233333333333333
11736783_s_at,0.9233333333333333
11735177_at,0.9233333333333333
11741564_a_at,0.9233333333333333
11721709_a_at,0.9233333333333333
11718381_a_at,0.9233333333333333
11757948_s_at,0.9233333333333333
11752051_a_at,0.9233333333333333
11744993_s_at,0.9233333333333333
11717947_a_at,0.9233333333333333
11746839_a_at,0.9233333333333333
200021_PM_at,0.9233333333333333
11739273_at,0.9233333333333332
11716633_a_at,0.9200000000000002
11723893_s_at,0.92
11717218_a_at,0.92
11725433_at,0.92
11754245_x_at,0.92
11723871_a_at,0.92
11748410_a_at,0.92
11741063_a_at,0.92
11741435_s_at,0.92
11754727_a_at,0.92
11744896_a_at,0.92
11736173_at,0.92
11761290_x_at,0.92
11739361_a_at,0.92
11758690_s_at,0.92
11742208_a_at,0.92
11720499_at,0.92
