Gene,Iteration,N_train,N_test,TrainAUC,TestAUC,TrainAcc,TestAcc,ScaleMean,ScaleSD,Notes
11736159_a_at,5,28,12,0.9659863945578231,0.962962962962963,0.9285714285714286,0.9166666666666666,8.029205750000001,0.7457400375436979,
11721777_at,1,28,12,0.8707482993197279,1.0,0.7857142857142857,1.0,9.890508535714286,0.6681196790525039,
11721777_at,2,28,12,0.9727891156462585,0.8518518518518519,0.8571428571428571,0.8333333333333334,9.88371214285714,0.6309665637044024,
11721777_at,3,28,12,0.9863945578231292,0.8148148148148149,0.8928571428571429,0.75,9.834667249999999,0.5998313045768306,
11721777_at,4,28,12,0.9863945578231292,0.888888888888889,0.8928571428571429,0.75,9.866472285714286,0.6326910569306236,
11721777_at,5,28,12,0.9455782312925171,0.9259259259259259,0.8571428571428571,0.75,9.842774285714285,0.551182619797942,
11723848_s_at,1,28,12,0.891156462585034,1.0,0.8928571428571429,0.9166666666666666,7.139697535714285,0.4090112496792525,
11723848_s_at,2,28,12,0.8843537414965987,0.962962962962963,0.9642857142857143,0.8333333333333334,7.161313714285716,0.4065304138415866,
11723848_s_at,3,28,12,0.9659863945578231,0.888888888888889,0.9642857142857143,0.9166666666666666,7.141414535714285,0.4281199974018605,
11723848_s_at,4,28,12,0.9931972789115646,0.7407407407407408,0.9642857142857143,0.8333333333333334,7.100584892857143,0.39716469853816816,
11723848_s_at,5,28,12,0.8911564625850341,0.962962962962963,0.9642857142857143,0.8333333333333334,7.205198178571429,0.41630802711703513,
11754197_x_at,1,28,12,0.9115646258503401,0.8518518518518519,0.8928571428571429,0.75,5.581291678571428,0.28782657762798936,
11754197_x_at,2,28,12,0.9115646258503401,0.9259259259259259,0.8928571428571429,0.9166666666666666,5.573020357142857,0.3398063977389363,
11754197_x_at,3,28,12,0.9591836734693877,1.0,0.8214285714285714,0.8333333333333334,5.511191178571429,0.328314606643627,
11754197_x_at,4,28,12,0.9523809523809523,0.7777777777777778,0.9642857142857143,0.75,5.581066678571427,0.252479071795701,
11754197_x_at,5,28,12,0.8571428571428571,1.0,0.8214285714285714,1.0,5.525113678571428,0.292072416090162,
11733801_s_at,1,28,12,0.9523809523809523,1.0,0.9285714285714286,0.8333333333333334,6.914983142857143,0.8850326998438351,
11733801_s_at,2,28,12,0.945578231292517,1.0,0.8571428571428571,1.0,7.007768785714285,0.8598593192919908,
11733801_s_at,3,28,12,0.9183673469387755,0.9259259259259259,0.8214285714285714,0.9166666666666666,7.059159178571429,0.8166437528115623,
11733801_s_at,4,28,12,0.9659863945578231,0.962962962962963,0.8928571428571429,0.8333333333333334,6.992808000000001,0.9359501078895812,
11733801_s_at,5,28,12,0.9659863945578232,0.9259259259259259,0.9285714285714286,0.75,6.9567586071428575,0.8852794208710619,
11740096_a_at,1,28,12,0.9387755102040817,1.0,0.8571428571428571,0.9166666666666666,5.482219964285714,0.6555501954203548,
11740096_a_at,2,28,12,0.9251700680272109,1.0,0.8928571428571429,0.9166666666666666,5.413680785714286,0.6020329121102536,
11740096_a_at,3,28,12,1.0,0.6296296296296297,0.9642857142857143,0.75,5.366154035714286,0.6018490426836458,
