probe_id,gene_symbol,abs_log_fold_change,variance
11716256_x_at,ECE1,0.24016996666666834,0.2295071364501275
11716262_a_at,AP2B1,1.5696485666666673,0.702805493470266
11716263_s_at,LEPROTL1,0.5374516000000007,0.346324316784718
11716264_at,LEPROTL1,0.5360263333333339,0.30061444894030503
11716266_s_at,UBE2A,0.3189971000000007,0.22225473883622499
11716268_at,AK1,0.8683642999999996,0.5734794230091995
11716270_a_at,SLIRP,0.18830316666666835,0.6431039542453328
11716276_a_at,CBX5,0.3925040666666666,0.3143345733374846
11716277_a_at,CBX5,0.26834430000000076,0.4271720740797891
11716281_a_at,COL18A1,0.4314154333333331,0.2336429510572557
11716282_s_at,FURIN,0.9080467999999984,0.3944060627906153
11716283_at,PAPD7,0.4963481999999999,0.18999414795885905
11716284_s_at,GLO1,0.1702505333333324,0.20517824601568208
11716285_a_at,VAMP3,0.7069392666666658,0.3588688922805102
11716288_s_at,ESYT1,0.5040073666666682,0.24056039902689677
11716291_s_at,HNRNPA0,0.23102803333333455,0.3027712217484199
11716302_s_at,ACSL1,0.8514505999999997,0.5660185361688487
11716308_s_at,CYBRD1,0.5113062333333334,0.5151149248085635
11716309_a_at,CYBRD1,0.03349736666666647,0.40409804564132756
11716310_a_at,CYBRD1,1.550212600000001,1.2047072208910743
11716311_x_at,LSM3,0.006997766666667182,0.3140185791450968
11716313_x_at,MRPS21,0.15131849999999947,0.20962292459640958
11716315_at,MRPL15,0.07863540000000047,0.336645281563536
11716320_x_at,RPS3A,0.17219166666666652,0.7190274387507054
11716321_a_at,CARKD,0.5190119666666666,0.20897474105309682
11716325_a_at,CLK1,0.17768943333333187,0.29985379984771215
11716334_a_at,RBX1,0.9329590000000003,0.3876782439530744
11716335_x_at,RBX1,0.9969197000000021,0.38487557821602497
11716337_s_at,INSIG1,0.46555473333333364,0.2642162725375871
11716340_a_at,NDUFS4,0.16524819999999973,0.28398053522629496
11716343_a_at,JUP,0.2194414999999994,0.34176690725540965
11716351_s_at,HSPE1 /// HSPE1-MOB4,0.07829656666666729,0.27426623589107635
11716356_at,TMEM167A,0.6069399000000004,0.27933589234687106
11716358_s_at,PRC1,0.5364577333333322,0.6669232442216514
11716359_a_at,FAM96A,0.126362366666668,0.31087492340746087
11716360_a_at,CNIH1,0.3208565666666665,0.3823480713167122
11716364_s_at,ASNS,0.3280461666666685,0.32590749792846085
11716365_x_at,ASNS,0.34402189999999866,0.3247547465460866
11716367_s_at,PRR13,0.9042680000000001,0.444075883812759
11716368_x_at,PRR13,0.7320270999999998,0.28330177451233285
11716369_x_at,SUMO2,0.3619596999999999,0.20961252823643023
11716377_s_at,GRN,0.7887219333333331,0.3762433267100794
11716378_a_at,TOMM20,0.17264020000000002,0.3362111168489001
11716379_s_at,TOMM20,0.2551814666666692,0.33505373085978457
11716392_s_at,ADH5,0.2757768666666651,0.19582368403056158
11716393_x_at,ADH5 /// ADH5P4,0.33342246666666764,0.20008578258274612
11716394_x_at,ADH5,0.20252186666666727,0.2758698632667692
11716395_a_at,ADGRG1,0.1680464333333358,0.5412391789754355
11716398_a_at,MRPL1,0.08627509999999905,0.5088720703202404
11716401_a_at,SELENBP1,1.8937344333333357,1.8245913140743795
11716411_x_at,RPS4Y1,1.1323348000000033,8.61282280883324
11716412_s_at,ALDH18A1,0.17562860000000224,0.22944896500679746
11716417_a_at,UNG,0.0953428333333326,0.2857569609677378
11716420_s_at,SPTBN1,0.3764756000000009,0.3306240006657024
11716421_at,SPTBN1,0.2063822666666666,0.32958741934888214
11716422_x_at,SPTBN1,0.2861604333333334,0.3065085204598917
11716424_a_at,PCDHGA1 /// PCDHGA10 /// PCDHGA11 /// PCDHGA12 /// PCDHGA2 /// PCDHGA3 /// PCDHGA4 /// PCDHGA5 /// PCDHGA6 /// PCDHGA7 /// PCDHGA8 /// PCDHGA9 /// PCDHGB1 /// PCDHGB2 /// PCDHGB3 /// PCDHGB4 /// PCDHGB5 /// PCDHGB6 /// PCDHGB7 /// PCDHGC3 /// PCDHGC4 /// PCDHGC5,0.2756894333333335,0.42766239702721476
11716433_s_at,SCD5,0.1206655333333333,0.6392605373220795
11716439_s_at,TAF7,0.1460861333333341,0.16667982312024618
11716440_s_at,USO1,0.40723743333333307,0.22995616054729176
11716445_s_at,COMMD4 /// LOC440292 /// LOC646670 /// LOC732265,0.28162503333333344,0.15050133294558396
11716451_s_at,RFTN1,0.642059933333333,0.27035924496086927
11716455_at,RHOBTB3,0.4053050666666671,0.669809169195836
11716458_a_at,MRPS35,0.30151719999999926,0.3279587692206052
11716459_at,TUBA4A,0.3938925666666666,0.11229108093165066
11716460_x_at,TUBA4A,0.3704276999999969,0.1286684421165584
11716466_s_at,ISCA1,2.3218309999999995,1.6228465312048592
11716467_x_at,ISCA1,2.3439887000000006,1.6721510772000454
11716468_s_at,ISCA1,1.4650825666666671,0.6431343311044814
11716469_x_at,UQCRB,0.7501080333333343,0.8468791246069736
11716472_a_at,RAF1,0.9616670000000012,0.47735828949520764
11716479_s_at,F13A1,1.1340060999999988,0.6251669671120096
11716482_a_at,GRINA,0.43921923333333446,0.3162400163999993
11716483_x_at,GRINA,0.6284204999999989,0.40391321614152237
11716486_at,FCGBP,0.7089147000000002,0.5035251685467378
11716487_a_at,WDR59,0.5001871333333314,0.21687859365245898
11716492_s_at,SIVA1,0.4043543000000005,0.19922740050443008
11716494_a_at,MAP4,0.14180800000000104,0.1368865388214872
