gene_rank,gene_symbol,probe_id,probe_rank,probe_type,multivariate_score,abs_fold_change,log_fold_change,mean_sonfh,mean_control,t_stat,p_value,iqr,variance
17040,NCBP3,11743837_a_at,35719,_a_at,-1.4923,0.133,0.133,4.4954,4.3624,0.7544,0.4684463970666532,0.3886,0.0995
17041,PLK3,11756358_a_at,35720,_a_at,-1.4924,0.0875,0.0875,5.7094,5.6219,0.9367,0.36539505624200586,0.2569,0.0548
17042,OTUD7A,11740952_at,35721,_at,-1.4924,0.0792,-0.0792,3.0538,3.133,-0.97,0.34729105373759184,0.2636,0.0487
17043,TRPA1,11740760_at,35733,_at,-1.4934,0.1069,-0.1069,3.1763,3.2831,-0.8578,0.4100764879134547,0.3303,0.0619
17044,SETMAR,11755343_s_at,35735,_s_at,-1.4936,0.1619,-0.1619,3.6504,3.8123,-0.637,0.5387951632558592,0.4932,0.2049
17045,MPRIP,11739524_a_at,35741,_a_at,-1.4941,0.1364,-0.1364,6.5996,6.736,-0.7387,0.47641480008454734,0.3967,0.131
17046,TUB,11749206_a_at,35745,_a_at,-1.4945,0.0762,-0.0762,2.8854,2.9616,-0.9796,0.3395909857122998,0.2727,0.0561
17047,TRBV9,11763002_s_at,35747,_s_at,-1.495,0.1449,0.1449,7.3341,7.1892,0.7036,0.4911305486986648,0.5805,0.35
17048,EFNA2,11742405_at,35752,_at,-1.4956,0.122,-0.122,3.6667,3.7887,-0.7947,0.44135960141098685,0.5082,0.1342
17049,WAS,11721694_x_at,35753,_x_at,-1.4956,0.1064,0.1064,5.7837,5.6773,0.8573,0.41101046547979114,0.2466,0.0563
17050,SNORA33,11763888_at,35755,_at,-1.4959,0.1212,0.1212,3.4714,3.3502,0.7976,0.43871560269475174,0.4695,0.1465
17051,RBM34,11755504_at,35760,_at,-1.4963,0.0702,-0.0702,2.2361,2.3063,-1.0016,0.33460014575495245,0.2028,0.0298
17052,SIAH3,11735408_at,35759,_at,-1.4963,0.0662,-0.0662,2.232,2.2982,-1.0177,0.32518825171292987,0.2215,0.0302
17053,FAM189B,11721562_a_at,35761,_a_at,-1.4966,0.1079,0.1079,5.9646,5.8567,0.8501,0.41440885003482725,0.2172,0.062
17054,FAM58BP,11742535_x_at,35767,_x_at,-1.4976,0.09,-0.09,4.7566,4.8466,-0.9208,0.37079961409954193,0.2674,0.0746
17055,IL23R,11737362_x_at,35772,_x_at,-1.498,0.1004,0.1004,2.3153,2.2149,0.8786,0.3969774088488396,0.3024,0.0671
17056,PRAME,11717271_a_at,35774,_a_at,-1.4982,0.0833,-0.0833,1.9341,2.0174,-0.947,0.3636572677829461,0.2077,0.0355
17057,GCG,11742762_at,35777,_at,-1.4983,0.0913,-0.0913,2.4924,2.5837,-0.9147,0.3795575398243881,0.2846,0.046
17058,MAGEA11,11734428_a_at,35778,_a_at,-1.4983,0.0798,-0.0798,2.2263,2.3061,-0.9609,0.35425703767126693,0.2497,0.0407
17059,ACTR3B,11737056_a_at,35775,_a_at,-1.4983,0.0907,0.0907,4.7359,4.6452,0.9172,0.37902675837992217,0.2016,0.0416
17060,FAM230A /// FAM230B /// LOC100996415 /// LOC105369215 /// LOC105372856 /// LOC105372867 /// LOC105372941 /// LOC105379519 /// LOC105379550 /// LOC729461,11758666_s_at,35781,_s_at,-1.4986,0.0832,-0.0832,2.3795,2.4627,-0.9469,0.36488782846069395,0.2577,0.0311
17061,ZNF679,11738264_x_at,35788,_x_at,-1.4993,0.0978,-0.0978,3.8985,3.9963,-0.8875,0.392074571366126,0.2803,0.0643
17062,SYT14,11740732_a_at,35795,_a_at,-1.5,0.0837,-0.0837,2.1157,2.1993,-0.9433,0.3656712367937653,0.2501,0.0351
17063,LRIG2,11740121_a_at,35798,_a_at,-1.5003,0.0964,-0.0964,4.803,4.8994,-0.892,0.3913719810889676,0.3209,0.0522
17064,TCP11L1,11741073_a_at,35800,_a_at,-1.5004,0.0705,0.0705,3.0579,2.9874,0.9958,0.33849876625408215,0.2488,0.0275
17065,IGLV3-10,11759705_x_at,35799,_x_at,-1.5004,0.1505,0.1505,4.2158,4.0653,0.675,0.507095336919851,0.8275,0.4956
17066,SNORA8 /// TAF1D,11757133_s_at,35802,_s_at,-1.5006,0.1297,0.1297,5.5433,5.4136,0.7582,0.46093888638648667,0.5971,0.191
17067,CNIH2,11724426_a_at,35806,_a_at,-1.5008,0.0953,-0.0953,5.9267,6.022,-0.8959,0.3865465267323371,0.2303,0.0673
17068,KCTD13,11728123_a_at,35808,_a_at,-1.5012,0.1077,-0.1077,5.4653,5.573,-0.8457,0.41212583304756617,0.3826,0.1047
17069,OR10Z1,11742581_at,35811,_at,-1.5015,0.0957,-0.0957,3.4932,3.5889,-0.8934,0.38814455736065145,0.4092,0.0663
17070,IFNG,11730947_at,35813,_at,-1.5017,0.1396,0.1396,4.8636,4.724,0.7172,0.48430226279954813,0.6915,0.27
17071,BCL9,11721926_at,35823,_at,-1.5028,0.1141,-0.1141,4.009,4.1232,-0.8182,0.4301995861558941,0.3495,0.0898
17072,PARG /// PARGP1,11758350_s_at,35825,_s_at,-1.503,0.1096,0.1096,3.4688,3.3591,0.836,0.4191665543777134,0.409,0.0925
17073,TMEM252,11734478_at,35828,_at,-1.5033,0.1159,0.1159,4.1471,4.0312,0.8104,0.4324816293219407,0.3648,0.1187
17074,GBA /// GBAP1,11751098_a_at,35827,_a_at,-1.5033,0.127,0.127,6.8387,6.7117,0.7659,0.4609708773912285,0.371,0.1019
17075,MRPL50,11721262_at,35833,_at,-1.5035,0.1596,0.1596,3.9286,3.769,0.6349,0.5378398140337298,0.7516,0.3033
17076,MAGEE2,11736508_at,35831,_at,-1.5035,0.1088,-0.1088,3.1536,3.2625,-0.8386,0.4183399056758884,0.4374,0.0852
17077,DEFB108B,11759448_at,35829,_at,-1.5035,0.0706,0.0706,2.1325,2.0619,0.9918,0.33739506352985527,0.2625,0.0357
17078,MAGEA12,11715249_s_at,35834,_s_at,-1.5036,0.0633,-0.0633,1.7578,1.8211,-1.021,0.3246157547042611,0.265,0.0254
17079,RRAS,11717161_at,35837,_at,-1.5037,0.1097,0.1097,6.9172,6.8075,0.8348,0.4181423300416449,0.4014,0.1102
17080,PNPLA5,11737352_a_at,35842,_a_at,-1.504,0.107,-0.107,6.3566,6.4636,-0.8453,0.41563747865905776,0.2919,0.0731
17081,OR10AD1,11737643_at,35840,_at,-1.504,0.1127,-0.1127,3.5245,3.6372,-0.8224,0.4295804584017605,0.3006,0.0695
17082,ARMC12,11726495_a_at,35844,_a_at,-1.504,0.1093,-0.1093,3.2986,3.4079,-0.8361,0.4207037677776969,0.3481,0.0767
17083,CHCHD2,11758099_x_at,35845,_x_at,-1.5043,0.1265,0.1265,9.7951,9.6686,0.7668,0.45829493207952715,0.529,0.1357
17084,C20orf85,11725562_at,35849,_at,-1.5049,0.0884,-0.0884,3.4276,3.5159,-0.9188,0.3771717993698842,0.2035,0.0442
17085,GSTM1 /// GSTM4,11751554_s_at,35853,_s_at,-1.5054,0.1582,-0.1582,8.6427,8.8009,-0.6384,0.5349374733132557,0.6661,0.3276
17086,RRP7A,11758818_at,35857,_at,-1.5057,0.099,-0.099,6.1106,6.2095,-0.8754,0.39650889886034213,0.4762,0.0812
17087,FRZB,11720326_a_at,35856,_a_at,-1.5057,0.0787,-0.0787,2.1727,2.2514,-0.9568,0.35692291876774135,0.2588,0.0375
17088,KLHDC9,11724084_a_at,35863,_a_at,-1.5073,0.054,-0.054,2.5423,2.5963,-1.054,0.3047943375456214,0.2118,0.0249
17089,COL5A3,11721742_at,35866,_at,-1.5074,0.1127,-0.1127,4.8842,4.9969,-0.8185,0.4297484069976708,0.313,0.0907
17090,SPANXA1 /// SPANXA2 /// SPANXC /// SPANXD,11731994_s_at,35869,_s_at,-1.5078,0.0901,-0.0901,2.4148,2.5048,-0.9087,0.38199383061858483,0.2553,0.0482
17091,SLC5A9,11729552_a_at,35870,_a_at,-1.5083,0.0877,0.0877,5.8323,5.7446,0.9178,0.36962534947578124,0.3303,0.0885
17092,NTPCR,11743820_a_at,35871,_a_at,-1.5084,0.1489,-0.1489,5.3104,5.4593,-0.6722,0.5172408751438361,0.3167,0.1508
17093,NDUFB10,11744444_a_at,35878,_a_at,-1.5092,0.1397,0.1397,7.4089,7.2692,0.7082,0.4937775026229279,0.536,0.1633
17094,CETN1,11743876_at,35879,_at,-1.5093,0.1095,-0.1095,4.1092,4.2186,-0.8292,0.4241458016638044,0.2209,0.0808
17095,LOC105372267,11764271_at,35892,_at,-1.5102,0.0948,-0.0948,3.1744,3.2692,-0.8871,0.3891793413885831,0.2736,0.0812
17096,AKR1B1,11715430_a_at,35893,_a_at,-1.5103,0.0993,0.0993,8.5157,8.4164,0.869,0.4020985854783774,0.2987,0.0665
17097,CCDC148,11726533_a_at,35894,_a_at,-1.5103,0.0699,-0.0699,2.6436,2.7135,-0.9868,0.3413155774540499,0.253,0.031
17098,TBL3,11722026_a_at,35896,_a_at,-1.5104,0.0778,0.0778,6.1037,6.0259,0.9551,0.3524088250107428,0.3003,0.0573
17099,MS4A4A,11732865_a_at,35895,_a_at,-1.5104,0.0996,-0.0996,3.2105,3.3101,-0.8676,0.4021492979490173,0.3006,0.0719
17100,HSCB,11728460_at,35899,_at,-1.5108,0.1265,0.1265,5.3177,5.1912,0.7593,0.46454267251298276,0.2705,0.1059
17101,PZP,11751197_a_at,35906,_a_at,-1.5112,0.072,-0.072,2.1148,2.1867,-0.9774,0.3439729031400615,0.3031,0.0389
17102,ATP1B3,11744259_a_at,35917,_a_at,-1.5122,0.1645,0.1645,8.9235,8.7589,0.6054,0.5579000224296083,0.5861,0.2777
17103,PCLO,11729451_a_at,35920,_a_at,-1.5127,0.1121,-0.1121,4.4144,4.5265,-0.8149,0.4321853335426114,0.2516,0.0854
17104,NSA2,11719682_s_at,35934,_s_at,-1.5146,0.1615,0.1615,8.2738,8.1123,0.6147,0.5515392065425848,0.6398,0.2825
17105,TMEM81,11726958_at,35938,_at,-1.5149,0.0875,0.0875,5.0398,4.9522,0.911,0.382051188703628,0.2279,0.0397
17106,ADIPOQ,11734559_x_at,35939,_x_at,-1.5149,0.0837,-0.0837,3.3067,3.3905,-0.9263,0.3729868543061277,0.293,0.0408
17107,TSPAN9,11717082_a_at,35944,_a_at,-1.5151,0.0943,-0.0943,6.015,6.1093,-0.8835,0.38887049658209055,0.4489,0.0977
17108,METTL6,11734756_at,35949,_at,-1.5155,0.0875,-0.0875,3.5826,3.6701,-0.9103,0.3783173031319358,0.3329,0.0596
17109,GSTA2,11757882_x_at,35951,_x_at,-1.5157,0.0908,-0.0908,2.7523,2.8431,-0.8969,0.38828311631562273,0.2842,0.0486
